,fid,Latitude,Longitude,ep50k,ep40k,newsales,total_sale,accuracy,type,city,country,county,street,number,postdirectional,predirectional,state,street,suffix,zip,address,lat,lng,source
33,34,43.1727139,-70.8597061,44,35,0,61,1.0,rooftop,Dover,US,Strafford County,Dover Point Rd,40,,,NH,Dover Point,Rd,03820,"40 Dover Point Rd, Dover, NH 03820",43.172458,-70.859385,Statewide
34,35,43.2657976,-70.9062279,50,44,0,54,1.0,rooftop,Somersworth,US,Strafford County,Rt 108,385,,,NH,Rt 108,,03878,"385 Rt 108, Somersworth, NH 03878",43.266126,-70.905906,Statewide
35,36,43.4419431,-71.65999079999999,48,44,0,50,1.0,rooftop,Franklin,US,Merrimack County,N Main St,28,,N,NH,Main,St,03235,"28 N Main St, Franklin, NH 03235",43.441687,-71.659896,Statewide
36,37,43.3239446,-71.0015454,18,16,0,33,1.0,rooftop,Rochester,US,Strafford County,Farmington Rd,20,,,NH,Farmington,Rd,03867,"20 Farmington Rd, Rochester, NH 03867",43.323703,-71.001964,Statewide
37,38,43.7716307,-71.7275637,19,17,0,32,1.0,rooftop,Plymouth,US,Grafton County,Tenney Mountain Hy,500,,,NH,Tenney Mountain Hy,,03264,"500 Tenney Mountain Hy, Plymouth, NH 03264",43.771651,-71.727525,Statewide
38,39,43.6327015,-70.33903790000001,18,16,0,30,1.0,rooftop,South Portland,US,Cumberland County,Philbrook Ave,1,,,ME,Philbrook,Ave,04106,"1 Philbrook Ave, South Portland, ME 04106",43.632542,-70.339081,Maine Office of GIS
39,40,43.0693364,-70.9408711,12,6,0,22,1.0,rooftop,Newmarket,US,Rockingham County,Exeter Rd,82,,,NH,Exeter,Rd,03857,"82 Exeter Rd, Newmarket, NH 03857",43.069136,-70.940364,Statewide
40,41,43.24316029999999,-71.36762359999999,5,5,27,47,1.0,rooftop,Epsom,US,Merrimack County,Suncook Valley Hwy,1151,,,NH,Suncook Valley,Hwy,03234,"1151 Suncook Valley Hwy, Epsom, NH 03234",43.242977,-71.367835,Statewide
41,42,43.330620200000006,-71.0047842,9,4,0,12,1.0,rooftop,Rochester,US,Strafford County,Crane Dr,8,,,NH,Crane,Dr,03867,"8 Crane Dr, Rochester, NH 03867",43.330629,-71.004785,Statewide
42,43,43.5036907,-71.4613933,4,3,0,4,1.0,rooftop,Belmont,US,Belknap County,Laconia Rd,29,,,NH,Laconia,Rd,03220,"29 Laconia Rd, Belmont, NH 03220",43.50362,-71.461387,Statewide
43,44,44.828131899999995,-68.7454291,0,0,0,2,1.0,rooftop,Bangor,US,Penobscot County,Sylvan Rd,114,,,ME,Sylvan,Rd,04401,"114 Sylvan Rd, Bangor, ME 04401",44.827472,-68.745406,Maine Office of GIS
44,45,43.994451500000004,-70.0579588,1,0,0,2,1.0,rooftop,Lisbon Falls,US,Androscoggin County,Lisbon St,713,,,ME,Lisbon,St,04252,"713 Lisbon St, Lisbon Falls, ME 04252",43.994638,-70.05762,Maine Office of GIS
45,46,44.1280002,-70.2241086,1,1,0,1,1.0,rooftop,Auburn,US,Androscoggin County,Center St,767,,,ME,Center,St,04210,"767 Center St, Auburn, ME 04210",44.127969,-70.224785,Maine Office of GIS
46,47,44.128173499999995,-70.2255592,0,0,0,1,1.0,rooftop,Auburn,US,Androscoggin County,Center St,774,,,ME,Center,St,04210,"774 Center St, Auburn, ME 04210",44.128272,-70.22511,Maine Office of GIS
47,48,44.243376500000004,-69.7711291,0,0,0,1,1.0,nearest_street,Farmingdale,US,Kennebec County,Us Hwy 201,190,,,ME,Us Hwy 201,,04344,"190 Us Hwy 201, Farmingdale, ME 04344",44.24319,-69.770834,TIGER/Line® dataset from the US Census Bureau
48,49,43.933833899999996,-69.9643483,1,1,0,1,1.0,nearest_street,Topsham,US,Sagadahoc County,Us Hwy 201,90,,,ME,Us Hwy 201,,04086,"90 Us Hwy 201, Topsham, ME 04086",43.932953,-69.964998,TIGER/Line® dataset from the US Census Bureau
49,50,43.419228000000004,-70.51662900000001,0,0,0,1,1.0,nearest_street,Kennebunkport,US,York County,Us Hwy 1,1601,,,ME,Us Hwy 1,,04046,"1601 Us Hwy 1, Kennebunkport, ME 04046",43.419678,-70.516835,TIGER/Line® dataset from the US Census Bureau
50,51,43.534576200000004,-70.4246661,1,1,0,1,1.0,nearest_street,Saco,US,York County,Us Hwy 1,836,,,ME,Us Hwy 1,,04072,"836 Us Hwy 1, Saco, ME 04072",43.534496,-70.424004,TIGER/Line® dataset from the US Census Bureau
51,52,43.414007,-70.748475,0,0,0,1,1.0,rooftop,Sanford,US,York County,Main St,1357,,,ME,Main,St,04073,"1357 Main St, Sanford, ME 04073",43.414106,-70.748515,Maine Office of GIS
52,53,44.093546200000006,-69.1391037,0,0,0,1,1.0,nearest_street,Thomaston,US,Knox County,Us Hwy 1,150,,,ME,Us Hwy 1,,04861,"150 Us Hwy 1, Thomaston, ME 04861",44.093911,-69.139293,TIGER/Line® dataset from the US Census Bureau
53,54,43.537963500000004,-70.41959890000001,1,1,0,1,1.0,nearest_street,Saco,US,York County,Us Hwy 1,861,,,ME,Us Hwy 1,,04072,"861 Us Hwy 1, Saco, ME 04072",43.537602,-70.421022,TIGER/Line® dataset from the US Census Bureau
54,55,43.2330325,-70.8082956,0,0,0,1,1.0,rooftop,South Berwick,US,York County,Main St,170,,,ME,Main,St,03908,"170 Main St, South Berwick, ME 03908",43.233071,-70.80834,Maine Office of GIS
55,56,40.7531179,-73.918293,4693,3511,2344,9613,1.0,rooftop,Long Island City,US,Queens County,Northern Blvd,43-40,,,NY,Northern,Blvd,11101,"43-40 Northern Blvd, Long Island City, NY 11101",40.753236,-73.918366,City of New York
56,57,39.7330206,-75.00662309999998,4881,4359,0,6552,0.99,rooftop,Sicklerville,US,Camden County,Cross Keys Berlin Rd,631,,,NJ,Cross Keys Berlin,Rd,08081,"631 Cross Keys Berlin Rd, Sicklerville, NJ 08081",39.733559,-75.007379,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
57,58,39.730105,-75.03210200000001,3648,3057,7966,14000,0.99,rooftop,Blackwood,US,Gloucester County,State Highway 42,3441,,,NJ,State Highway 42,,08012,"3441 State Highway 42, Blackwood, NJ 08012",39.72899,-75.032639,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
58,59,41.5121391,-73.0218026,1526,1265,0,4764,1.0,rooftop,Naugatuck,US,New Haven County,Raytkwich Rd,49,,,CT,Raytkwich,Rd,06770,"49 Raytkwich Rd, Naugatuck, CT 06770",41.512035,-73.022006,Connecticut Geospatial Information Systems Council
59,60,41.787655900000004,-72.664953,2851,2494,0,4624,1.0,rooftop,Hartford,US,Hartford County,Weston St,93,,,CT,Weston,St,06120,"93 Weston St, Hartford, CT 06120",41.787794,-72.665027,Ciy of Hartford
60,61,40.1026433,-75.3066775,1823,1598,4892,8744,0.98,nearest_street,Conshohocken,US,Montgomery County,W Ridge Pike,1150,,W,PA,Ridge,Pike,19428,"1150 W Ridge Pike, Conshohocken, PA 19428",40.102198,-75.306896,TIGER/Line® dataset from the US Census Bureau
61,62,40.219747999999996,-74.130114,2677,2293,0,3586,1.0,rooftop,Farmingdale,US,Monmouth County,Hwy 33 & 34,5011,,,NJ,Hwy 33 & 34,,07727,"5011 Hwy 33 & 34, Farmingdale, NJ 07727",40.219981,-74.130177,Monmouth
62,63,40.3025003,-75.28874859999999,3246,3223,0,3517,1.0,rooftop,Hatfield,US,Bucks County,Bethlehem Pike,2801,,,PA,Bethlehem,Pike,19440,"2801 Bethlehem Pike, Hatfield, PA 19440",40.302885,-75.288897,Bucks
63,64,40.173324,-74.8899222,2093,1469,5390,8509,1.0,nearest_street,Levittown,US,Bucks County,Us Hwy 1 Bus,1956,,,PA,Us Hwy 1 Bus,,19056,"1956 Us Hwy 1 Bus, Levittown, PA 19056",40.173376,-74.889339,TIGER/Line® dataset from the US Census Bureau
64,65,40.7533889,-73.9035976,2088,1944,6016,8776,1.0,rooftop,Woodside,US,Queens County,Northern Blvd,57-2,,,NY,Northern,Blvd,11377,"57-2 Northern Blvd, Woodside, NY 11377",40.753499,-73.903538,City of New York
65,66,41.414036200000005,-73.4243068,1250,955,2771,5411,1.0,rooftop,Danbury,US,Fairfield County,Federal Rd,100,,,CT,Federal,Rd,06810,"100 Federal Rd, Danbury, CT 06810",41.414169,-73.42516,Connecticut Geospatial Information Systems Council
66,67,41.220952600000004,-73.07316309999999,1124,837,1934,4508,1.0,rooftop,Milford,US,New Haven County,Boston Post Rd,241,,,CT,Boston Post,Rd,06460,"241 Boston Post Rd, Milford, CT 06460",41.220936,-73.073104,City of Milford
67,68,40.9178489,-74.06125490000001,1443,1280,5500,7930,1.0,rooftop,Paramus,US,Bergen County,E,123,E,,NJ,,,07652,"123 E, Paramus, NJ 07652",40.918257,-74.061468,Bergen
68,69,40.6522144,-73.92133220000001,1372,883,941,3308,1.0,rooftop,Brooklyn,US,Kings County,Church Ave,5906,,,NY,Church,Ave,11203,"5906 Church Ave, Brooklyn, NY 11203",40.652305,-73.921366,City of New York
69,70,40.69724420000001,-73.8150395,675,426,0,2341,1.0,rooftop,Richmond Hill,US,Queens County,Atlantic Ave,134-1,,,NY,Atlantic,Ave,11418,"134-1 Atlantic Ave, Richmond Hill, NY 11418",40.697131,-73.814981,City of New York
70,71,41.4737946,-73.0408994,322,215,0,2264,1.0,rooftop,Naugatuck,US,New Haven County,New Haven Rd,820,,,CT,New Haven,Rd,06770,"820 New Haven Rd, Naugatuck, CT 06770",41.473798,-73.040966,Connecticut Geospatial Information Systems Council
71,72,40.6915648,-74.2904812,1327,1166,5488,7731,1.0,nearest_street,Union,US,Union County,Us Hwy 22,2284,,,NJ,Us Hwy 22,,07083,"2284 Us Hwy 22, Union, NJ 07083",40.691027,-74.290095,TIGER/Line® dataset from the US Census Bureau
72,73,39.9181544,-74.94359,1464,1237,2579,4656,0.99,rooftop,Mount Laurel,US,Burlington County,Commerce Pkwy,19000,,,NJ,Commerce,Pkwy,08054,"19000 Commerce Pkwy, Mount Laurel, NJ 08054",39.919003,-74.942767,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
73,74,40.0239039,-74.8151872,1871,1860,0,2072,0.97,nearest_street,Mount Holly,US,Burlington County,Cr 541,,,,NJ,Cr 541,,08060,"Cr 541, Mount Holly, NJ 08060",40.024635,-74.814327,TIGER/Line® dataset from the US Census Bureau
74,75,40.717727200000006,-74.0958894,1351,1211,3192,5243,1.0,rooftop,Jersey City,US,Hudson County,State Highway 440,599,,,NJ,State Highway 440,,07305,"599 State Highway 440, Jersey City, NJ 07305",40.717378,-74.095102,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
75,76,39.9178958,-75.0320394,1014,794,4138,6143,1.0,rooftop,Cherry Hill,US,Camden County,State Highway 70,1805,,,NJ,State Highway 70,,08002,"1805 State Highway 70, Cherry Hill, NJ 08002",39.918061,-75.031829,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
76,77,40.0964091,-75.2949309,920,789,2331,4209,0.98,nearest_street,Conshohocken,US,Montgomery County,West Ave,1949,,,PA,West,Ave,19428,"1949 West Ave, Conshohocken, PA 19428",40.096694,-75.294071,TIGER/Line® dataset from the US Census Bureau
77,78,40.846098,-74.8120431,851,540,1391,3263,1.0,nearest_street,Hackettstown,US,Morris County,Us Hwy 46,40,,,NJ,Us Hwy 46,,07840,"40 Us Hwy 46, Hackettstown, NJ 07840",40.845331,-74.812495,TIGER/Line® dataset from the US Census Bureau
78,79,39.944144200000004,-74.9761613,1192,999,1419,3230,0.99,rooftop,Maple Shade,US,Burlington County,Kings Hwy,108,,,NJ,Kings,Hwy,08052,"108 Kings Hwy, Maple Shade, NJ 08052",39.944754,-74.977005,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
79,80,39.9062523,-75.2248695,1660,764,0,1793,0.99,rooftop,Philadelphia,US,Philadelphia County,Essington Ave,6815,,,PA,Essington,Ave,19153,"6815 Essington Ave, Philadelphia, PA 19153",39.906387,-75.225835,Philadelphia
80,81,40.448303,-74.2984941,935,790,2784,4563,1.0,nearest_street,Old Bridge,US,Middlesex County,US 9,,,,NJ,US 9,,08857,"US 9, Old Bridge, NJ 08857",40.448485,-74.299301,TIGER/Line® dataset from the US Census Bureau
81,82,41.6968373,-72.90789840000001,1081,852,1418,3153,1.0,rooftop,Bristol,US,Hartford County,Farmington Ave,1069,,,CT,Farmington,Ave,06010,"1069 Farmington Ave, Bristol, CT 06010",41.697156,-72.90814,Connecticut Geospatial Information Systems Council
82,83,40.228766,-74.06868850000001,1005,768,2132,3854,1.0,rooftop,Neptune,US,Monmouth County,State Highway 66,3401,,,NJ,State Highway 66,,07753,"3401 State Highway 66, Neptune, NJ 07753",40.228823,-74.068606,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
83,84,40.165843599999995,-74.9029644,831,792,1956,3668,1.0,nearest_street,Langhorne,US,Bucks County,Us Hwy 1 Bus,862,,,PA,Us Hwy 1 Bus,,19047,"862 Us Hwy 1 Bus, Langhorne, PA 19047",40.165372,-74.901246,TIGER/Line® dataset from the US Census Bureau
84,85,40.732498,-73.2584196,856,715,3523,5196,1.0,rooftop,Bay Shore,US,Suffolk County,Sunrise Highway Eastbound Service Rd,1350,,,NY,Sunrise Highway Eastbound Service,Rd,11706,"1350 Sunrise Highway Eastbound Service Rd, Bay Shore, NY 11706",40.732747,-73.258695,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
85,86,40.290581200000005,-74.04288309999998,762,641,2077,3730,1.0,rooftop,Eatontown,US,Monmouth County,State Highway 36,200,,,NJ,State Highway 36,,07724,"200 State Highway 36, Eatontown, NJ 07724",40.290668,-74.043011,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
86,87,39.92165429999999,-74.9488531,1263,1116,764,2416,0.99,rooftop,Mount Laurel,US,Burlington County,State Highway 73,1220,,,NJ,State Highway 73,,08054,"1220 State Highway 73, Mount Laurel, NJ 08054",39.922385,-74.948288,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
87,88,40.1042946,-75.0034047,505,313,0,1646,1.0,nearest_street,Philadelphia,US,Philadelphia County,US 1,,,,PA,US 1,,19116,"US 1, Philadelphia, PA 19116",40.10416,-75.002928,TIGER/Line® dataset from the US Census Bureau
88,89,40.602784,-74.2687205,928,751,0,1642,1.0,rooftop,Rahway,US,Union County,Lawrence St,1453,,,NJ,Lawrence,St,07065,"1453 Lawrence St, Rahway, NJ 07065",40.602658,-74.269038,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
89,90,40.9200141,-73.7658504,1119,1036,3198,4832,1.0,nearest_street,New Rochelle,US,Westchester County,Us Rte 1,20,,,NY,Us Rte 1,,10801,"20 Us Rte 1, New Rochelle, NY 10801",40.920046,-73.765318,TIGER/Line® dataset from the US Census Bureau
90,91,42.1424025,-72.626373,944,754,2007,3620,1.0,nearest_street,West Springfield,US,Hampden County,US 5,,,,MA,US 5,,01089,"US 5, West Springfield, MA 01089",42.142443,-72.627826,TIGER/Line® dataset from the US Census Bureau
91,92,40.6686653,-73.40941529999999,1033,922,4592,6198,1.0,rooftop,Amityville,US,Suffolk County,Merrick Rd,345,,,NY,Merrick,Rd,11701,"345 Merrick Rd, Amityville, NY 11701",40.668681,-73.409484,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
92,93,40.6968395,-75.2856055,547,468,2008,3610,0.99,rooftop,Easton,US,Northampton County,Commerce Park Dr,218,,,PA,Commerce Park,Dr,18045,"218 Commerce Park Dr, Easton, PA 18045",40.696007,-75.286825,Northampton
93,94,41.938787299999994,-72.6683973,1498,1303,0,1592,1.0,rooftop,Windsor Locks,US,Hartford County,North St,501,,,CT,North,St,06096,"501 North St, Windsor Locks, CT 06096",41.939365,-72.66844,Connecticut Geospatial Information Systems Council
94,95,40.721025299999994,-75.2910917,591,470,1264,2813,1.0,rooftop,Easton,US,Northampton County,Easton Hwy,3830,,,PA,Easton,Hwy,18045,"3830 Easton Hwy, Easton, PA 18045",40.720738,-75.290613,Northampton
95,96,40.270737,-74.71149399999999,728,669,2097,3628,1.0,nearest_street,Trenton,US,Mercer County,Us Hwy 1,2800,,,NJ,Us Hwy 1,,08648,"2800 Us Hwy 1, Trenton, NJ 08648",40.270823,-74.711252,TIGER/Line® dataset from the US Census Bureau
96,97,41.19273870000001,-73.1226265,225,154,0,1530,1.0,rooftop,Stratford,US,Fairfield County,Ferry Blvd,250,,,CT,Ferry,Blvd,06615,"250 Ferry Blvd, Stratford, CT 06615",41.192818,-73.12256000000001,Connecticut Geospatial Information Systems Council
97,98,40.598563500000004,-75.34100450000001,444,375,660,2173,0.99,rooftop,Bethlehem,US,Northampton County,Silvex Rd,1965,,,PA,Silvex,Rd,18015,"1965 Silvex Rd, Bethlehem, PA 18015",40.598453,-75.342114,Northampton
98,99,40.455498,-74.479362,984,706,2581,4080,1.0,nearest_street,North Brunswick,US,Middlesex County,US 1,,,,NJ,US 1,,08902,"US 1, North Brunswick, NJ 08902",40.456028,-74.479564,TIGER/Line® dataset from the US Census Bureau
99,100,40.8285987,-73.4032811,853,751,4901,6385,1.0,rooftop,Huntington Station,US,Suffolk County,E Jericho Tpke,147,,E,NY,Jericho,Tpke,11746,"147 E Jericho Tpke, Huntington Station, NY 11746",40.828615,-73.403121,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
